gender,married,dependents,education,self_employed,applicant_income,coapplicant_income,loan_amount,loan_term,credit_history,property_area,loan_status
Female,No,0,Graduate,Yes,98855,27957,37,360,1,Urban,Y
Female,Yes,2,Not Graduate,Yes,48750,28758,37,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,No,39227,10242,11,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,57089,27295,37,180,0,Semiurban,N
Female,No,0,Graduate,No,32648,3952,21,360,1,Semiurban,Y
Female,No,1,Not Graduate,No,78420,10636,24,360,1,Semiurban,Y
Male,No,1,Graduate,No,93566,11778,28,360,0,Semiurban,N
Male,Yes,0,Graduate,No,45260,13956,33,360,1,Semiurban,Y
Female,Yes,0,Graduate,Yes,52286,35960,51,360,0,Rural,Y
Male,Yes,0,Graduate,No,28397,11888,19,360,0,Semiurban,N
Female,No,0,Not Graduate,No,29393,7639,8,240,1,Rural,Y
Male,No,0,Graduate,No,32577,9340,15,360,1,Rural,Y
Male,No,0,Graduate,No,84168,3386,26,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,119285,66035,53,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,49717,29005,45,360,1,Rural,Y
Male,No,0,Graduate,Yes,139260,27670,79,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,87710,27952,55,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,89085,58910,64,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,26993,15709,16,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,81373,29609,34,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,19222,5270,12,360,0,Rural,N
Male,Yes,0,Graduate,No,77954,18675,27,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,117075,61120,96,240,1,Urban,Y
Female,No,1,Not Graduate,No,65073,16004,48,360,1,Semiurban,Y
Male,No,0,Graduate,No,34469,9357,18,360,1,Rural,Y
Male,No,0,Graduate,No,46558,2982,25,180,1,Semiurban,Y
Male,No,0,Graduate,Yes,123253,32024,56,360,1,Urban,Y
Female,No,0,Graduate,No,38027,898,8,360,0,Rural,Y
Female,No,0,Not Graduate,No,79072,2948,23,180,1,Urban,Y
Female,Yes,1,Graduate,Yes,81894,17219,36,180,1,Urban,Y
Male,No,1,Graduate,No,95630,10836,32,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,42771,16748,26,360,1,Rural,Y
Female,Yes,1,Graduate,No,89169,47347,67,360,1,Semiurban,Y
Female,No,0,Graduate,No,23369,4130,16,240,1,None,Y
Male,Yes,1,Graduate,Yes,82806,44457,50,360,1,Urban,Y
Male,No,0,Not Graduate,Yes,42652,462,11,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,26048,5719,11,360,1,Semiurban,Y
Male,No,0,Not Graduate,No,27222,5566,8,360,1,Rural,Y
Male,No,3+,Graduate,No,74193,10676,32,360,1,Urban,Y
Female,Yes,0,Graduate,No,71554,20107,49,360,1,None,Y
Female,Yes,0,Graduate,No,65728,30229,35,360,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,58931,23305,49,360,1,Urban,Y
Female,No,3+,Not Graduate,No,111205,28390,49,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,47708,10804,16,360,1,Rural,Y
Male,Yes,1,Graduate,No,56388,34425,47,240,0,None,N
Male,Yes,0,Graduate,Yes,77646,25677,49,360,1,None,Y
Female,Yes,0,Graduate,No,21367,11739,6,360,1,None,Y
Female,No,0,Graduate,Yes,66017,12088,19,360,1,None,Y
Male,No,1,Graduate,No,99192,945,47,240,0,Urban,N
Female,Yes,0,Not Graduate,No,16916,10657,6,240,1,Rural,Y
Male,Yes,1,Not Graduate,No,46483,9535,23,360,1,Semiurban,Y
Male,Yes,2,Graduate,Yes,41239,21375,17,360,1,Semiurban,Y
Female,No,0,Graduate,No,48514,10494,12,360,1,Rural,Y
Female,Yes,1,Graduate,No,25982,15545,21,360,0,Rural,N
Female,Yes,0,Graduate,No,34608,15208,12,360,0,Rural,N
Female,Yes,0,Not Graduate,No,91293,27558,42,360,1,Urban,Y
Female,No,1,Graduate,No,42780,65,20,360,1,Urban,Y
Female,No,0,Graduate,Yes,124507,16197,67,360,1,Semiurban,Y
Female,Yes,2,Graduate,No,45409,13155,16,360,0,Semiurban,N
Female,No,1,Not Graduate,No,56559,4514,19,360,1,Semiurban,Y
Male,No,1,Not Graduate,Yes,50117,14621,30,360,1,None,Y
Female,Yes,1,Not Graduate,No,31151,19970,17,360,0,Semiurban,N
Female,Yes,1,Graduate,No,44102,25891,20,360,1,Rural,Y
Male,Yes,0,Graduate,No,76904,48180,61,360,1,None,Y
Female,No,0,Graduate,Yes,77843,351,23,360,0,Urban,N
Female,Yes,3+,Graduate,No,46295,29582,29,360,1,Urban,Y
Female,Yes,0,Graduate,Yes,186194,74329,53,360,0,Urban,Y
Male,Yes,0,Graduate,No,123540,75276,74,360,0,Semiurban,Y
Male,Yes,2,Graduate,No,29387,10103,14,180,0,None,N
Female,No,0,Graduate,No,58442,13649,42,180,0,Semiurban,N
Female,Yes,1,Graduate,Yes,109341,33746,56,180,1,Urban,Y
Female,Yes,2,Graduate,No,104616,65024,73,360,1,Urban,Y
Female,No,0,Not Graduate,Yes,73174,15040,43,180,1,Urban,Y
Male,No,0,Graduate,No,16832,4927,9,360,0,Rural,Y
Female,Yes,2,Graduate,Yes,109062,65084,57,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,35287,17985,11,360,1,None,Y
Male,No,2,Not Graduate,No,83781,11278,51,180,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,60873,12201,42,360,0,Semiurban,N
Female,No,1,Graduate,No,39670,2342,10,360,1,None,Y
Male,No,0,Graduate,No,63634,14205,36,360,1,Rural,Y
Male,Yes,2,Graduate,No,48115,29402,40,360,1,None,Y
Male,Yes,1,Not Graduate,No,37554,18430,29,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,39215,11576,17,360,1,Semiurban,Y
Male,Yes,0,Graduate,Yes,133337,69228,42,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,37734,2237,12,360,1,Semiurban,Y
Female,Yes,1,Graduate,No,104946,53534,82,240,1,Urban,Y
Male,Yes,0,Not Graduate,No,96794,25314,41,360,1,Urban,Y
Female,Yes,1,Graduate,No,94058,53311,63,240,1,Urban,Y
Female,Yes,0,Not Graduate,No,65928,33334,41,180,0,Urban,N
Female,Yes,2,Graduate,No,69581,46278,58,360,1,Urban,Y
Male,No,0,Not Graduate,Yes,65670,17492,16,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,69296,16126,22,360,1,Rural,Y
Female,No,3+,Graduate,No,33041,242,8,360,1,Semiurban,Y
Female,No,2,Graduate,Yes,26857,7907,12,180,1,Semiurban,Y
Male,No,0,Graduate,Yes,56261,2910,24,360,0,Rural,Y
Male,Yes,0,Graduate,No,46822,17827,28,240,1,Urban,Y
Male,No,3+,Graduate,No,23362,4905,11,360,1,None,Y
Male,No,3+,Graduate,Yes,108994,21397,59,240,1,Urban,Y
Female,Yes,2,Graduate,No,166750,33891,73,360,1,Urban,Y
Male,Yes,2,Not Graduate,No,22153,14754,9,360,1,Rural,Y
Female,No,3+,Graduate,No,51588,421,11,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,45905,28908,16,360,1,Semiurban,Y
Male,Yes,1,Not Graduate,Yes,56539,17894,25,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,77813,27839,36,360,0,Semiurban,N
Female,No,1,Graduate,No,20388,4703,12,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,86291,29777,47,360,1,Urban,Y
Female,Yes,1,Not Graduate,Yes,36865,24004,15,180,0,Semiurban,Y
Female,Yes,3+,Graduate,No,68380,40597,56,360,1,Semiurban,Y
Female,No,0,Graduate,No,108008,28595,67,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,39208,18752,31,360,1,Rural,Y
Male,No,0,Graduate,No,37607,4153,13,360,0,None,N
Male,No,2,Not Graduate,No,102373,9083,22,180,1,Urban,Y
Male,No,1,Not Graduate,No,42858,11677,17,360,1,Rural,Y
Male,Yes,1,Graduate,No,36508,16679,29,360,1,Rural,Y
Male,No,0,Graduate,No,24822,622,11,360,1,Rural,Y
Female,No,0,Not Graduate,Yes,50622,4732,33,360,1,Rural,Y
Male,Yes,2,Graduate,No,63609,14192,40,180,1,Semiurban,Y
Female,No,2,Graduate,No,72651,14515,48,360,1,Urban,Y
Female,Yes,1,Not Graduate,No,37248,8457,17,240,0,Urban,N
Female,No,2,Not Graduate,Yes,95539,15146,35,240,1,Semiurban,Y
Male,Yes,1,Graduate,No,25564,14397,16,360,1,Rural,Y
Male,No,1,Graduate,No,59462,2777,14,360,0,Rural,Y
Male,Yes,0,Graduate,No,114923,26360,46,360,0,Urban,N
Male,Yes,3+,Graduate,No,92145,60014,85,360,1,Semiurban,Y
Female,Yes,1,Not Graduate,No,72617,29053,56,360,0,Urban,N
Female,Yes,0,Graduate,No,68121,16628,25,360,0,Urban,N
Male,Yes,1,Not Graduate,No,60468,38728,50,180,0,Urban,N
Female,Yes,0,Graduate,No,84844,56904,45,360,1,Urban,Y
Male,No,1,Graduate,No,117417,26898,48,360,1,Urban,Y
Male,No,1,Not Graduate,Yes,38286,7613,22,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,72458,41753,37,360,1,Urban,Y
Female,No,0,Graduate,Yes,50827,2599,20,240,1,None,Y
Female,No,2,Graduate,No,81647,11346,33,360,1,Urban,Y
Male,Yes,3+,Not Graduate,No,40593,8600,14,360,1,Rural,Y
Female,Yes,0,Graduate,No,135731,84958,65,240,1,Urban,Y
Male,No,1,Graduate,No,66468,4264,36,360,1,Urban,Y
Male,No,1,Not Graduate,No,92416,12873,33,360,1,Urban,Y
Female,No,0,Graduate,No,124715,15943,52,360,1,Urban,Y
Female,No,0,Graduate,No,90314,19537,57,240,1,Urban,Y
Female,Yes,2,Graduate,No,104343,40374,33,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,83603,37443,55,360,1,Urban,Y
Female,Yes,2,Graduate,No,47026,19135,23,360,1,Rural,Y
Male,No,0,Not Graduate,No,35166,772,17,360,1,None,Y
Female,Yes,2,Not Graduate,Yes,39912,11151,10,240,1,Rural,Y
Female,Yes,0,Graduate,No,43567,14186,26,360,1,None,Y
Male,Yes,2,Graduate,No,140895,77905,113,360,1,Urban,Y
Female,Yes,2,Graduate,No,26726,12882,16,360,1,Rural,Y
Male,Yes,0,Not Graduate,No,77370,17072,49,360,1,Semiurban,Y
Female,No,0,Not Graduate,No,70458,5809,41,360,1,Urban,Y
Female,No,2,Not Graduate,No,68660,9111,30,360,0,Urban,N
Male,No,1,Graduate,Yes,31026,2188,16,360,0,None,N
Male,Yes,2,Graduate,No,103093,50431,52,180,1,Urban,Y
Male,Yes,0,Graduate,No,80431,51302,69,240,1,Semiurban,Y
Male,No,1,Graduate,No,145149,12355,35,360,1,Urban,Y
Female,No,3+,Graduate,No,145082,11329,42,360,1,Urban,Y
Female,Yes,0,Graduate,No,78411,46678,56,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,Yes,39067,14693,19,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,44720,26860,42,360,0,Semiurban,N
Male,No,2,Graduate,No,30537,4881,10,360,1,Rural,Y
Male,No,1,Not Graduate,Yes,114061,27273,54,180,0,Urban,N
Female,Yes,3+,Graduate,No,24983,16778,15,360,0,None,N
Male,No,2,Graduate,No,55875,13143,39,360,1,Urban,Y
Male,Yes,3+,Graduate,No,46794,15523,30,360,1,Urban,Y
Male,Yes,3+,Graduate,No,36557,17246,19,360,0,Rural,N
Male,Yes,0,Graduate,No,97059,30760,57,180,0,Semiurban,N
Male,No,1,Not Graduate,No,75159,9284,22,180,1,Semiurban,Y
Female,Yes,1,Graduate,No,120186,36160,82,180,1,Semiurban,Y
Male,Yes,1,Graduate,No,81595,26102,63,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,97558,51325,37,180,1,Semiurban,Y
Male,No,1,Not Graduate,No,48433,7280,20,180,0,Urban,N
Male,No,1,Graduate,No,170481,735,40,180,0,Urban,N
Female,Yes,1,Not Graduate,No,77831,25266,40,240,0,Semiurban,N
Male,Yes,1,Graduate,No,72204,24836,50,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,30774,17867,27,360,1,Rural,Y
Female,Yes,1,Not Graduate,No,93643,53670,42,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,68950,32041,36,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,No,65758,28577,37,360,1,Semiurban,Y
Male,No,0,Graduate,No,81750,5992,19,360,1,Semiurban,Y
Female,Yes,0,Graduate,No,93627,29464,70,180,0,Urban,N
Male,No,2,Graduate,No,58955,14608,43,180,0,Rural,N
Male,Yes,3+,Not Graduate,No,52577,19328,17,360,0,Urban,N
Male,Yes,0,Not Graduate,No,67300,13578,27,240,1,Urban,Y
Male,No,1,Graduate,No,64750,5152,25,360,0,Urban,N
Male,Yes,1,Graduate,Yes,87423,55937,67,360,1,Urban,Y
Male,Yes,1,Not Graduate,Yes,31432,15941,10,360,1,Rural,Y
Male,No,1,Graduate,No,30753,4753,17,360,0,Rural,N
Female,Yes,2,Graduate,No,54242,35865,21,360,0,Urban,N
Female,No,1,Not Graduate,No,31293,230,12,360,1,Rural,Y
Female,Yes,0,Graduate,No,29912,6023,16,240,0,None,Y
Male,Yes,0,Graduate,No,54670,17646,36,360,1,Urban,Y
Female,No,0,Graduate,Yes,136434,12308,71,180,1,Semiurban,Y
Female,No,1,Graduate,No,50154,3649,14,240,1,Urban,Y
Male,Yes,2,Not Graduate,Yes,28417,9780,18,360,1,Semiurban,Y
Male,No,0,Graduate,No,81746,16601,49,360,1,Urban,Y
Female,Yes,1,Graduate,No,26882,15289,10,360,0,Rural,N
Male,Yes,0,Graduate,No,64885,30701,46,360,0,Semiurban,N
Female,Yes,1,Graduate,No,90406,28978,24,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,23916,7006,6,240,0,Semiurban,N
Female,Yes,1,Graduate,No,31395,8745,12,180,0,Semiurban,N
Male,Yes,1,Not Graduate,No,106881,69072,82,240,1,Urban,Y
Male,Yes,2,Not Graduate,No,49283,14726,27,180,1,Semiurban,Y
Male,Yes,0,Graduate,No,94687,21665,61,360,0,Semiurban,N
Male,Yes,0,Not Graduate,Yes,44333,29995,37,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,117760,47925,89,360,1,Urban,Y
Female,Yes,0,Not Graduate,Yes,111019,71961,38,360,0,Urban,N
Male,Yes,0,Graduate,No,87053,40735,60,180,1,Urban,Y
Female,Yes,0,Graduate,Yes,104593,50065,75,240,1,Semiurban,Y
Female,Yes,1,Graduate,No,137008,52788,95,360,1,Urban,Y
Female,Yes,0,Graduate,No,58671,25381,42,360,1,Rural,Y
Male,No,0,Not Graduate,Yes,62666,3157,20,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,86384,60209,49,180,1,Semiurban,Y
Female,Yes,1,Graduate,Yes,71397,42471,22,240,1,Semiurban,Y
Male,No,0,Graduate,Yes,158305,42305,76,360,1,Urban,Y
Male,Yes,2,Graduate,No,73221,18759,35,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,No,12526,2963,5,360,1,Rural,Y
Male,Yes,1,Graduate,No,58739,19258,18,360,1,None,Y
Female,No,1,Graduate,No,99354,20641,68,360,0,Semiurban,N
Female,Yes,0,Graduate,No,37735,23816,26,360,1,None,Y
Female,Yes,1,Graduate,No,96162,54034,76,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,50577,26703,37,180,1,Rural,Y
Female,Yes,2,Not Graduate,No,45624,24148,28,180,1,Rural,Y
Female,Yes,0,Not Graduate,No,43762,19813,31,360,0,Rural,N
Female,Yes,2,Graduate,No,100769,61561,75,180,0,Urban,N
Female,Yes,2,Graduate,No,56651,26612,32,360,1,Rural,Y
Female,No,3+,Graduate,No,120053,34901,75,180,1,Urban,Y
Male,Yes,2,Graduate,No,124682,73269,41,360,0,Semiurban,Y
Male,Yes,0,Graduate,No,46352,11699,24,360,1,Rural,Y
Male,No,0,Graduate,No,34108,9702,24,180,1,Rural,Y
Female,Yes,1,Graduate,No,48780,26449,35,360,1,Urban,Y
Male,Yes,1,Graduate,Yes,134862,42667,75,360,1,Urban,Y
Male,Yes,0,Graduate,No,115453,52989,50,360,1,Urban,Y
Male,Yes,2,Graduate,Yes,119847,40565,36,180,1,Semiurban,Y
Male,Yes,0,Not Graduate,No,28626,12546,20,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,73332,27106,59,360,1,Urban,Y
Male,Yes,0,Not Graduate,No,36199,7513,20,360,1,Urban,Y
Female,Yes,1,Graduate,No,121980,49908,60,360,1,Urban,Y
Male,Yes,0,Graduate,No,105464,61315,42,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,56681,12900,16,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,45792,6784,20,360,1,Rural,Y
Female,No,3+,Not Graduate,No,44103,7380,17,360,1,Urban,Y
Female,Yes,2,Graduate,Yes,35544,10426,23,360,0,Semiurban,N
Male,Yes,0,Not Graduate,No,92376,47732,43,360,1,Urban,Y
Male,Yes,2,Graduate,No,69758,44773,49,360,1,None,Y
Female,Yes,1,Graduate,No,96437,47766,63,360,0,Urban,N
Female,Yes,2,Not Graduate,No,89753,62534,79,360,1,Urban,Y
Female,Yes,0,Not Graduate,No,38368,8601,27,360,1,Rural,Y
Male,No,1,Graduate,No,156364,10486,85,360,1,Urban,Y
Female,No,2,Graduate,No,117423,18743,68,360,0,Urban,Y
Male,Yes,1,Graduate,No,36205,20141,29,240,1,Urban,Y
Female,Yes,2,Graduate,No,21023,9715,17,360,1,Rural,Y
Male,Yes,1,Graduate,Yes,183066,50501,88,180,0,Urban,N
Female,No,1,Graduate,Yes,25368,5110,12,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,100335,28722,31,360,0,Urban,N
Male,No,3+,Not Graduate,No,67836,8734,39,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,134555,77537,126,240,1,Urban,Y
Male,No,0,Not Graduate,No,28932,1413,10,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,40768,24585,22,180,1,Rural,Y
Female,Yes,0,Graduate,No,108174,56124,76,240,1,Semiurban,Y
Female,No,0,Not Graduate,No,45850,13448,13,360,0,None,N
Male,Yes,1,Graduate,No,64044,34761,47,360,1,Rural,Y
Male,Yes,2,Graduate,No,47352,25221,17,360,0,Semiurban,N
Male,Yes,0,Graduate,No,113580,47211,38,240,1,Semiurban,Y
Female,Yes,0,Graduate,No,91564,52588,35,360,0,Semiurban,N
Male,No,0,Not Graduate,No,57060,7406,34,360,0,Urban,N
Male,No,0,Graduate,No,46799,1872,25,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,100041,62871,51,360,1,Urban,Y
Male,Yes,0,Graduate,No,25160,15553,23,360,1,None,Y
Female,Yes,0,Not Graduate,No,96145,63209,41,180,1,Urban,Y
Male,No,1,Graduate,No,75841,855,27,180,1,Rural,Y
Female,Yes,1,Not Graduate,Yes,54888,31228,40,360,1,None,Y
Female,Yes,3+,Graduate,No,86369,57838,46,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,36919,10254,15,240,1,Semiurban,Y
Male,No,2,Not Graduate,No,69434,20156,27,360,1,Semiurban,Y
Female,No,2,Graduate,No,150272,23384,65,360,1,Urban,Y
Male,Yes,2,Graduate,No,70999,25087,56,240,1,Urban,Y
Male,No,1,Not Graduate,No,38180,7297,21,180,0,Semiurban,N
Female,Yes,1,Graduate,No,105796,58920,93,360,0,Semiurban,N
Female,Yes,0,Graduate,No,166537,103181,71,360,1,Urban,Y
Male,No,0,Graduate,Yes,98643,29333,67,180,1,Semiurban,Y
Male,Yes,2,Not Graduate,Yes,55167,20856,40,240,0,Semiurban,N
Female,Yes,0,Graduate,No,70413,47724,58,180,0,Rural,N
Female,No,0,Graduate,No,34741,3848,18,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,56535,19245,31,360,1,Semiurban,Y
Male,No,1,Graduate,No,52111,9438,36,360,1,Semiurban,Y
Male,Yes,2,Not Graduate,No,94620,26639,48,360,0,Urban,N
Female,Yes,1,Not Graduate,No,39123,24189,27,360,1,Urban,Y
Female,Yes,1,Graduate,No,24274,8418,18,360,0,Rural,Y
Male,Yes,0,Graduate,Yes,111144,56909,86,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,40877,14357,29,360,1,None,Y
Male,Yes,1,Not Graduate,No,39877,23614,15,360,0,Rural,N
Female,Yes,0,Graduate,No,52316,23431,16,360,1,Rural,Y
Male,Yes,2,Not Graduate,No,30876,8084,21,180,1,Urban,Y
Male,Yes,1,Graduate,No,105313,67113,84,240,1,Semiurban,Y
Female,Yes,2,Graduate,No,59442,38555,20,180,1,Urban,Y
Male,Yes,0,Not Graduate,Yes,13331,4694,6,360,1,Rural,Y
Male,No,0,Not Graduate,Yes,60541,278,26,360,1,Urban,Y
Male,Yes,0,Graduate,No,29317,6438,8,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,103388,37848,60,360,1,Semiurban,Y
Female,Yes,3+,Graduate,No,105428,56631,44,240,0,Semiurban,N
Female,Yes,2,Graduate,No,27346,8042,7,240,1,Rural,Y
Female,No,0,Graduate,No,121672,33836,75,360,0,Urban,Y
Male,No,0,Graduate,No,110440,22463,46,360,1,Semiurban,Y
Male,Yes,0,Graduate,No,38586,18174,27,180,1,Rural,Y
Male,No,1,Graduate,No,179812,9572,99,360,0,Urban,N
Male,No,1,Graduate,No,115215,13606,74,360,1,Urban,Y
Male,Yes,0,Graduate,No,29416,20211,12,360,1,Rural,Y
Female,No,3+,Graduate,No,65463,19007,21,180,1,Urban,Y
Female,Yes,2,Graduate,No,29358,14516,24,360,1,Rural,Y
Male,Yes,3+,Not Graduate,No,43693,30378,16,360,1,Urban,Y
Female,Yes,3+,Graduate,No,111359,32121,85,360,1,Urban,Y
Female,Yes,0,Graduate,No,42711,27226,34,180,1,Rural,Y
Male,Yes,3+,Graduate,No,38463,11667,18,180,1,Rural,Y
Female,Yes,0,Not Graduate,No,19955,7229,15,360,1,None,Y
Female,Yes,3+,Not Graduate,No,29703,9028,12,240,0,Semiurban,N
Female,Yes,1,Graduate,Yes,93584,39727,33,360,1,Rural,Y
Female,Yes,2,Not Graduate,Yes,93948,56026,80,180,0,Urban,N
Male,No,0,Not Graduate,No,93214,18532,38,360,1,Urban,Y
Female,No,3+,Graduate,No,101225,1532,54,360,1,Semiurban,Y
Female,No,3+,Graduate,Yes,111295,24679,41,360,0,Urban,N
Female,Yes,0,Graduate,No,26551,5530,12,360,0,Rural,N
Male,Yes,2,Not Graduate,No,26422,5963,6,180,1,Rural,Y
Male,Yes,1,Not Graduate,Yes,120767,65156,80,360,1,Urban,Y
Male,No,0,Graduate,No,98782,16479,58,360,0,Semiurban,Y
Male,Yes,0,Graduate,No,77104,24684,52,180,1,None,Y
Female,No,0,Graduate,No,35548,7010,18,360,1,Rural,Y
Female,Yes,1,Not Graduate,No,44742,14454,13,360,1,None,Y
Male,Yes,2,Graduate,Yes,83834,38584,58,360,0,Rural,N
Female,Yes,2,Graduate,Yes,192500,67816,131,360,1,Urban,Y
Male,Yes,1,Graduate,No,39874,26089,29,360,1,None,Y
Female,Yes,3+,Not Graduate,Yes,41301,18130,22,180,0,Urban,N
Male,Yes,2,Graduate,No,38567,14507,21,180,1,Rural,Y
Female,No,1,Not Graduate,No,24552,1960,9,360,1,Semiurban,Y
Male,Yes,1,Graduate,Yes,47432,21591,30,180,1,Semiurban,Y
Male,No,1,Graduate,No,126550,34921,41,240,0,Urban,Y
Female,Yes,3+,Graduate,Yes,118924,76738,43,180,1,Urban,Y
Female,Yes,2,Not Graduate,No,105845,43164,44,360,1,Urban,Y
Male,No,3+,Graduate,No,53260,1297,19,360,1,Urban,Y
Male,Yes,1,Not Graduate,No,74665,36393,38,180,1,Semiurban,Y
Female,No,2,Graduate,No,13044,2525,6,360,1,Rural,Y
Female,No,2,Graduate,No,66037,3650,35,360,1,Semiurban,Y
Male,Yes,1,Graduate,No,54082,35880,26,180,1,Rural,Y
Female,Yes,3+,Graduate,No,53287,27648,32,360,1,Rural,Y
Female,No,0,Graduate,No,64098,12453,41,180,1,Semiurban,Y
Female,No,0,Not Graduate,No,93835,4746,51,360,1,Urban,Y
Female,Yes,3+,Not Graduate,Yes,66732,19600,31,240,0,Urban,N
Female,No,1,Graduate,No,58216,10818,23,360,0,Rural,N
Male,Yes,0,Graduate,No,81322,50496,36,360,1,Urban,Y
Male,Yes,1,Graduate,No,50900,17613,34,180,1,Urban,Y
Female,Yes,1,Not Graduate,No,16307,10084,10,240,1,Rural,Y
Male,Yes,2,Not Graduate,No,71089,23975,38,180,1,Urban,Y
Female,No,2,Not Graduate,No,10609,1713,4,180,1,Rural,Y
Female,Yes,0,Graduate,No,58799,33641,21,180,1,Urban,Y
Male,No,1,Graduate,Yes,125709,28587,35,180,0,Semiurban,N
Male,No,1,Graduate,Yes,85274,12553,47,360,0,None,N
Male,No,1,Not Graduate,No,53112,4099,22,240,1,Semiurban,Y
Male,Yes,3+,Not Graduate,No,22894,10465,16,360,0,Semiurban,N
Male,Yes,1,Not Graduate,No,38527,11934,10,360,0,Semiurban,N
Male,Yes,0,Graduate,No,38803,15698,20,180,1,None,Y
Female,Yes,0,Graduate,No,74089,42595,32,360,1,Semiurban,Y
Female,No,1,Not Graduate,Yes,27794,414,6,360,1,Rural,Y
